event_id,event_time,sku_id,warehouse_id,movement_type,quantity,source_system
EVT0,2026-01-19 06:38:00,SKU-1403,WH-02,OUT,68,WMS
EVT1,,SKU-1411,WH-01,INVALID,111,POS
EVT2,2026-02-10 05:25:00,SKU-1152,WH-01,IN,42,WMS
EVT3,2026-03-10 15:45:00,SKU-1757,WH-02,IN,23,WMS
EVT4,,SKU-1306,WH-02,IN,11,WMS
EVT5,25/03/2026,SKU-1893,WH-03,OUT,11,ERP
EVT6,2026-03-21 12:09:00,SKU-1738,WH-01,IN,86,WMS
EVT7,2026-02-10 13:09:00,SKU-1248,WH-01,OUT,114,POS
EVT8,22/04/2026,SKU-1707,WH-03,IN,89,ERP
EVT9,2026-03-03 16:24:00,SKU-1722,WH-02,IN,51,POS
EVT10,2026-04-09 23:43:00,SKU-1979,WH-02,OUT,93,WMS
EVT11,2026/02/05 17:19,SKU-1822,WH-02,IN,49,ERP
EVT12,30/03/2026,SKU-1964,,IN,5,POS
EVT13,,SKU-1491,WH-01,OUT,117,POS
EVT14,2026-04-02 02:22:00,SKU-1838,WH-01,OUT,43,POS
EVT15,2026/02/04 17:44,SKU-1671,WH-01,IN,86,POS
EVT16,2026-03-27 16:14:00,SKU-1140,WH-03,OUT,119,WMS
EVT17,2026-03-29 04:00:00,SKU-1238,WH-02,IN,77,WMS
EVT18,03/03/2026,SKU-1951,WH-05,IN,108,POS
EVT19,2026/03/15 07:34,SKU-1328,WH-04,OUT,32,WMS
EVT20,23/04/2026,SKU-1740,WH-04,OUT,6,ERP
EVT21,2026-04-22 09:56:00,SKU-1856,WH-01,IN,88,ERP
EVT22,06/02/2026,SKU-1009,WH-01,IN,102,WMS
EVT23,04/02/2026,SKU-1536,WH-01,IN,70,ERP
EVT24,,SKU-1338,,INVALID,83,POS
EVT25,2026/04/25 12:52,SKU-1581,WH-01,OUT,101,POS
EVT26,18/01/2026,SKU-1527,WH-03,OUT,76,ERP
EVT27,,SKU-1006,WH-02,OUT,55,WMS
EVT28,,SKU-1586,WH-02,OUT,108,POS
EVT29,,SKU-1163,WH-05,IN,89,ERP
EVT30,2026-01-18 15:09:00,SKU-1654,WH-02,OUT,23,POS
EVT31,2026-03-02 17:51:00,SKU-1765,WH-02,IN,6,WMS
EVT32,2026-04-11 02:33:00,SKU-1845,WH-03,IN,56,POS
EVT33,,SKU-1540,WH-04,OUT,7,WMS
EVT34,,SKU-1207,WH-01,OUT,86,ERP
EVT35,14/04/2026,SKU-1734,WH-04,OUT,77,ERP
EVT36,2026/04/14 09:46,SKU-1525,WH-01,IN,97,ERP
EVT37,2026-01-06 13:22:00,SKU-1405,WH-03,IN,25,WMS
EVT38,2026/04/30 15:02,SKU-1065,WH-05,OUT,13,POS
EVT39,2026/03/24 13:23,SKU-1418,WH-03,IN,42,POS
EVT40,26/03/2026,,WH-02,OUT,34,WMS
EVT41,,SKU-1880,WH-05,OUT,47,ERP
EVT42,2026-02-24 17:24:00,SKU-1774,WH-02,IN,63,ERP
EVT43,2026-04-03 03:02:00,SKU-1253,WH-01,IN,19,WMS
EVT44,,SKU-1429,WH-04,OUT,69,WMS
EVT45,,SKU-1034,,OUT,-5,POS
EVT46,2026/03/06 09:14,SKU-1239,WH-04,OUT,58,WMS
EVT47,31/01/2026,SKU-1589,WH-03,IN,101,ERP
EVT48,2026-03-17 23:58:00,SKU-1676,WH-01,OUT,36,ERP
EVT49,,SKU-1641,WH-02,IN,45,POS
EVT50,,SKU-1804,WH-02,OUT,54,WMS
EVT51,,SKU-1484,WH-01,IN,-5,ERP
EVT52,2026-02-01 08:13:00,SKU-1575,WH-02,OUT,78,POS
EVT53,03/04/2026,SKU-1662,WH-04,OUT,82,POS
EVT54,2026/04/13 18:46,SKU-1386,WH-01,OUT,48,WMS
EVT55,2026/04/27 00:13,SKU-1572,WH-04,OUT,51,ERP
EVT56,2026/02/01 22:38,SKU-1985,WH-05,IN,28,WMS
EVT57,2026/02/18 14:34,SKU-1209,WH-02,IN,55,WMS
EVT58,,SKU-1367,WH-02,IN,71,POS
EVT59,2026/01/29 23:09,SKU-1936,WH-02,IN,65,ERP
EVT60,20/01/2026,SKU-1267,WH-02,OUT,47,ERP
EVT61,2026-03-29 10:16:00,SKU-1388,WH-02,IN,25,POS
EVT62,2026/04/04 11:10,SKU-1989,WH-02,OUT,41,ERP
EVT63,2026-03-24 01:33:00,SKU-1737,WH-04,IN,21,ERP
EVT64,01/01/2026,SKU-1859,WH-04,OUT,35,WMS
EVT65,17/02/2026,SKU-1236,WH-01,IN,44,WMS
EVT66,10/03/2026,SKU-1682,WH-03,OUT,35,ERP
EVT67,2026/03/06 22:43,SKU-1017,WH-02,OUT,27,POS
EVT68,2026/01/20 07:12,SKU-1825,WH-01,OUT,16,WMS
EVT69,2026/02/17 12:29,SKU-1539,WH-01,OUT,70,WMS
EVT70,2026/01/11 20:54,SKU-1249,WH-01,IN,-5,WMS
EVT71,,SKU-1777,WH-02,IN,76,WMS
EVT72,,SKU-1175,WH-03,OUT,80,WMS
EVT73,14/03/2026,SKU-1941,WH-04,IN,52,ERP
EVT74,2026/01/05 05:59,SKU-1946,WH-04,IN,60,POS
EVT75,2026/04/16 12:59,SKU-1016,WH-01,IN,10,ERP
EVT76,,SKU-1306,WH-02,IN,55,POS
EVT77,06/03/2026,SKU-1773,WH-05,IN,30,ERP
EVT78,2026-03-18 12:49:00,SKU-1100,WH-02,IN,34,POS
EVT79,,SKU-1030,WH-05,IN,60,POS
EVT80,2026-03-21 09:51:00,SKU-1190,WH-02,OUT,118,ERP
