sku_id,category,unit_cost,reorder_point
SKU-1000,GROCERY,80.34,126
SKU-1001,ELECTRONICS,4656.06,35
SKU-1002,APPAREL,490.17,154
SKU-1003,SPORTS,525.49,99
SKU-1004,HOME,195.63,104
SKU-1005,GROCERY,13.5,143
SKU-1006,ELECTRONICS,1936.92,52
SKU-1007,APPAREL,982.62,131
SKU-1008,SPORTS,737.44,99
SKU-1009,HOME,561.47,107
SKU-1010,GROCERY,74.82,121
SKU-1011,ELECTRONICS,4745.8,30
SKU-1012,APPAREL,1107.58,103
SKU-1013,SPORTS,911.32,57
SKU-1014,HOME,1152.93,93
SKU-1015,GROCERY,21.24,217
SKU-1016,ELECTRONICS,1302.93,74
SKU-1017,APPAREL,647.14,93
SKU-1018,SPORTS,2075.68,88
SKU-1019,HOME,689.85,98
SKU-1020,GROCERY,18.67,195
SKU-1021,ELECTRONICS,5112.9,59
SKU-1022,APPAREL,1351.09,106
SKU-1023,SPORTS,1570.17,38
SKU-1024,HOME,150.41,79
SKU-1025,GROCERY,95.04,140
SKU-1026,ELECTRONICS,5247.65,75
SKU-1027,APPAREL,331.3,95
SKU-1028,SPORTS,1297.5,76
SKU-1029,HOME,278.92,95
SKU-1030,GROCERY,33.05,188
SKU-1031,ELECTRONICS,4449.47,63
SKU-1032,APPAREL,1042.45,137
SKU-1033,SPORTS,1696.95,98
SKU-1034,HOME,902.04,70
SKU-1035,GROCERY,60.85,189
SKU-1036,ELECTRONICS,5945.52,60
SKU-1037,APPAREL,1094.61,88
SKU-1038,SPORTS,1806.15,37
SKU-1039,HOME,351.95,54
SKU-1040,GROCERY,98.56,222
SKU-1041,ELECTRONICS,2192.25,33
SKU-1042,APPAREL,1387.08,132
SKU-1043,SPORTS,2228.01,70
SKU-1044,HOME,333.89,113
SKU-1045,GROCERY,53.52,284
SKU-1046,ELECTRONICS,3186.03,36
SKU-1047,APPAREL,381.52,155
SKU-1048,SPORTS,1535.01,63
SKU-1049,HOME,921.72,104
SKU-1050,GROCERY,108.76,222
SKU-1051,ELECTRONICS,2682.38,28
SKU-1052,APPAREL,862.38,71
SKU-1053,SPORTS,1962.72,44
SKU-1054,HOME,268.13,70
SKU-1055,GROCERY,97.13,228
SKU-1056,ELECTRONICS,3901.33,44
SKU-1057,APPAREL,696.11,119
SKU-1058,SPORTS,1464.05,100
SKU-1059,HOME,1046.86,51
SKU-1060,GROCERY,84.83,149
SKU-1061,ELECTRONICS,4344.89,54
SKU-1062,APPAREL,1176.14,158
SKU-1063,SPORTS,1710.12,44
SKU-1064,HOME,422.85,70
SKU-1065,GROCERY,59.91,187
SKU-1066,ELECTRONICS,5853.82,68
SKU-1067,APPAREL,432.25,73
SKU-1068,SPORTS,2215.14,68
SKU-1069,HOME,1025.84,114
SKU-1070,GROCERY,76.99,159
SKU-1071,ELECTRONICS,2744.35,30
SKU-1072,APPAREL,901.19,159
SKU-1073,SPORTS,2329.35,30
SKU-1074,HOME,758.84,112
SKU-1075,GROCERY,12.14,212
SKU-1076,ELECTRONICS,5369.35,73
SKU-1077,APPAREL,1248.81,90
SKU-1078,SPORTS,427.44,40
SKU-1079,HOME,194.22,112
SKU-1080,GROCERY,99.76,256
SKU-1081,ELECTRONICS,4782.34,28
SKU-1082,APPAREL,1057.68,130
SKU-1083,SPORTS,663.28,97
SKU-1084,HOME,1059.68,104
SKU-1085,GROCERY,116.08,258
SKU-1086,ELECTRONICS,4727.38,64
SKU-1087,APPAREL,461.5,99
SKU-1088,SPORTS,1177.78,77
SKU-1089,HOME,581.91,116
SKU-1090,GROCERY,59.66,183
SKU-1091,ELECTRONICS,1968.43,41
SKU-1092,APPAREL,227.34,130
SKU-1093,SPORTS,806.25,58
SKU-1094,HOME,107.91,140
SKU-1095,GROCERY,79.42,178
SKU-1096,ELECTRONICS,1150.48,22
SKU-1097,APPAREL,1317.53,69
SKU-1098,SPORTS,1431.14,65
SKU-1099,HOME,835.88,77
SKU-1100,GROCERY,69.32,266
SKU-1101,ELECTRONICS,3796.3,35
SKU-1102,APPAREL,1220.01,112
SKU-1103,SPORTS,718.9,42
SKU-1104,HOME,824.88,95
SKU-1105,GROCERY,56.59,239
SKU-1106,ELECTRONICS,5291.95,23
SKU-1107,APPAREL,1075.37,142
SKU-1108,SPORTS,516.52,81
SKU-1109,HOME,901.03,63
SKU-1110,GROCERY,37.35,168
SKU-1111,ELECTRONICS,3588.69,28
SKU-1112,APPAREL,748.45,95
SKU-1113,SPORTS,1317.78,39
SKU-1114,HOME,587.44,120
SKU-1115,GROCERY,20.77,286
SKU-1116,ELECTRONICS,5996.27,73
SKU-1117,APPAREL,219.19,71
SKU-1118,SPORTS,2338.01,60
SKU-1119,HOME,282.94,112
SKU-1120,GROCERY,62.95,222
SKU-1121,ELECTRONICS,5492.7,30
SKU-1122,APPAREL,692.67,109
SKU-1123,SPORTS,883.45,88
SKU-1124,HOME,413.77,139
SKU-1125,GROCERY,115.3,262
SKU-1126,ELECTRONICS,4241.73,51
SKU-1127,APPAREL,401.24,97
SKU-1128,SPORTS,778.94,37
SKU-1129,HOME,737.1,119
SKU-1130,GROCERY,16.71,200
SKU-1131,ELECTRONICS,1097.26,57
SKU-1132,APPAREL,819.83,127
SKU-1133,SPORTS,646.35,95
SKU-1134,HOME,188.12,73
SKU-1135,GROCERY,17.54,137
SKU-1136,ELECTRONICS,4311.11,35
SKU-1137,APPAREL,724.91,132
SKU-1138,SPORTS,841.67,35
SKU-1139,HOME,781.32,103
SKU-1140,GROCERY,82.31,264
SKU-1141,ELECTRONICS,3518.47,79
SKU-1142,APPAREL,539.0,145
SKU-1143,SPORTS,1875.62,60
SKU-1144,HOME,392.18,66
SKU-1145,GROCERY,83.89,196
SKU-1146,ELECTRONICS,3177.57,79
